Problem size,MRPS ux,# Evaluations ux,MRPS 1x,# Evaluations 1x
10,82.0 (21.4),339.2 (89.1),121.6 (28.8),512.3 (90.8)
20,300.8 (75.0),2987.2 (777.2),537.6 (83.2),6265.9 (972.4)
40,1036.8 (185.0),21289.6 (2918.5),,
80,3558.4 (588.8),154616.3 (21512.6),,
160,,,,
