Problem size,MRPS ux,# Evaluations ux,MRPS 1x,# Evaluations 1x
10,444.8 (113.1),1289.6 (302.3),121.6 (38.7),441.4 (133.9)
20,4992.0 (1006.2),57628.2 (11465.6),312.0 (90.9),2381.9 (600.8)
40,,,1056.0 (115.4),13965.4 (1497.2)
80,,,3993.6 (725.9),88637.4 (14493.4)
160,,,,
